objectid,title,classification,iiifurl,iiifthumburl,openaccess,portrait_like
1,Saint Paul and a Group of Worshippers,Painting,https://api.nga.gov/iiif/7bbcfd01-e774-46e7-96d1-a3b03598cd8a,"https://api.nga.gov/iiif/7bbcfd01-e774-46e7-96d1-a3b03598cd8a/full/!200,200/0/default.jpg",1,True
2,Saint Andrew and Saint Benedict with the Archangel Gabriel [left panel],Painting,https://api.nga.gov/iiif/e8a1acb4-f60a-477a-9bfe-61fa5072c514,"https://api.nga.gov/iiif/e8a1acb4-f60a-477a-9bfe-61fa5072c514/full/!200,200/0/default.jpg",1,True
3,"Madonna and Child Enthroned with Twelve Angels, and with the Blessing Christ [middle panel]",Painting,https://api.nga.gov/iiif/abec1c5b-ee32-450d-9398-5c84f1f8cf14,"https://api.nga.gov/iiif/abec1c5b-ee32-450d-9398-5c84f1f8cf14/full/!200,200/0/default.jpg",1,True
4,Saint Bernard and Saint Catherine of Alexandria with the Virgin of the Annunciation [right panel],Painting,https://api.nga.gov/iiif/e6890364-4d99-4684-a62b-5060ee3c3446,"https://api.nga.gov/iiif/e6890364-4d99-4684-a62b-5060ee3c3446/full/!200,200/0/default.jpg",1,True
5,The Madonna of Humility,Painting,https://api.nga.gov/iiif/e64daf38-38e8-4d0c-acb2-8ff370cc188c,"https://api.nga.gov/iiif/e64daf38-38e8-4d0c-acb2-8ff370cc188c/full/!200,200/0/default.jpg",1,True
6,Saint Anthony Abbot [left panel],Painting,https://api.nga.gov/iiif/e879ab8f-0a66-4d84-8f7c-bafd62d662ee,"https://api.nga.gov/iiif/e879ab8f-0a66-4d84-8f7c-bafd62d662ee/full/!200,200/0/default.jpg",1,True
7,Madonna and Child Enthroned with Four Saints and Eighteen Angels [middle panel],Painting,https://api.nga.gov/iiif/a0458b44-8db7-4694-8a03-349003ec91a7,"https://api.nga.gov/iiif/a0458b44-8db7-4694-8a03-349003ec91a7/full/!200,200/0/default.jpg",1,True
8,Saint Venantius [right panel],Painting,https://api.nga.gov/iiif/ace92898-3191-42e2-b849-1be58081903f,"https://api.nga.gov/iiif/ace92898-3191-42e2-b849-1be58081903f/full/!200,200/0/default.jpg",1,True
9,The Madonna of Humility,Painting,https://api.nga.gov/iiif/955ee859-1172-48d6-b5b3-189857de82f0,"https://api.nga.gov/iiif/955ee859-1172-48d6-b5b3-189857de82f0/full/!200,200/0/default.jpg",1,True
11,Madonna and Child with Angels and Cherubim,Painting,https://api.nga.gov/iiif/f25a6288-be3b-4d0f-8294-ce88b012e6b8,"https://api.nga.gov/iiif/f25a6288-be3b-4d0f-8294-ce88b012e6b8/full/!200,200/0/default.jpg",1,True
13,Madonna and Child with Donor,Painting,https://api.nga.gov/iiif/17e4af9c-94aa-4723-b20c-e559b4ba43ac,"https://api.nga.gov/iiif/17e4af9c-94aa-4723-b20c-e559b4ba43ac/full/!200,200/0/default.jpg",1,True
13,Madonna and Child with Donor,Painting,https://api.nga.gov/iiif/8e81c3c7-f5c7-4832-888a-9469d9890bed,"https://api.nga.gov/iiif/8e81c3c7-f5c7-4832-888a-9469d9890bed/full/!200,200/0/default.jpg",1,True
16,Profile Portrait of a Young Man,Painting,https://api.nga.gov/iiif/4dcb3933-93d5-4dda-afb8-dc91555ea573,"https://api.nga.gov/iiif/4dcb3933-93d5-4dda-afb8-dc91555ea573/full/!200,200/0/default.jpg",1,True
