objectid,title,attribution,medium,classification,subclassification,beginyear,endyear,depictstmsobjectid,iiifurl,iiifthumburl,openaccess
30218,Peach Blossom,Beatrix Godwin Whistler,oil on wood,Painting,,1890.0,1894.0,30218,https://api.nga.gov/iiif/98459286-8b99-42e6-8f42-551a4f9562a2,"https://api.nga.gov/iiif/98459286-8b99-42e6-8f42-551a4f9562a2/full/!200,200/0/default.jpg",1
46428,Street in Venice,John Singer Sargent,oil on wood,Painting,,1882.0,1882.0,46428,https://api.nga.gov/iiif/101f6ae4-948e-4d84-923c-cdf4e37d2b36,"https://api.nga.gov/iiif/101f6ae4-948e-4d84-923c-cdf4e37d2b36/full/!200,200/0/default.jpg",1
110276,An English Breakfast,John Frederick Peto,oil on academy board,Painting,,1890.0,1899.0,110276,https://api.nga.gov/iiif/8aa9f97e-ab5f-4d0e-aa9c-248784f7df58,"https://api.nga.gov/iiif/8aa9f97e-ab5f-4d0e-aa9c-248784f7df58/full/!200,200/0/default.jpg",1
61174,Still Life with Dead Game,Willem van Aelst,oil on canvas,Painting,,1661.0,1661.0,61174,https://api.nga.gov/iiif/4246e72b-cc40-4c13-a02d-59f0ac901740,"https://api.nga.gov/iiif/4246e72b-cc40-4c13-a02d-59f0ac901740/full/!200,200/0/default.jpg",1
231753,I Reread Them with Pleasure,Marguerite Gérard,oil on canvas,Painting,,1788.0,1789.0,231753,https://api.nga.gov/iiif/0b26ecab-01e9-4801-b741-c50e80a1f19d,"https://api.nga.gov/iiif/0b26ecab-01e9-4801-b741-c50e80a1f19d/full/!200,200/0/default.jpg",1
46556,Edouard Blau,Frédéric Bazille,oil on canvas,Painting,,1869.0,1869.0,46556,https://api.nga.gov/iiif/c648bb1a-4a20-43c1-8fa9-794c325a787a,"https://api.nga.gov/iiif/c648bb1a-4a20-43c1-8fa9-794c325a787a/full/!200,200/0/default.jpg",1
56571,Forest in the Morning Light,Asher Brown Durand,oil on canvas,Painting,,1855.0,1855.0,56571,https://api.nga.gov/iiif/fe6a1fdd-1ce6-407c-be01-ae0e414b30cd,"https://api.nga.gov/iiif/fe6a1fdd-1ce6-407c-be01-ae0e414b30cd/full/!200,200/0/default.jpg",1
52193,Young Woman with a Straw Hat,Berthe Morisot,oil on canvas,Painting,,1884.0,1884.0,52193,https://api.nga.gov/iiif/057b18ed-2c6c-44f5-a8c0-3e7aa95ab038,"https://api.nga.gov/iiif/057b18ed-2c6c-44f5-a8c0-3e7aa95ab038/full/!200,200/0/default.jpg",1
46032,The Hermit,Gerrit Dou,oil on oak panel,Painting,,1670.0,1670.0,46032,https://api.nga.gov/iiif/c50ee8c2-db92-4e58-a6b8-0243dfe829d8,"https://api.nga.gov/iiif/c50ee8c2-db92-4e58-a6b8-0243dfe829d8/full/!200,200/0/default.jpg",1
46550,Nude,Roger de La Fresnaye,oil on cardboard,Painting,,1910.0,1910.0,46550,https://api.nga.gov/iiif/d60bdf25-8877-48a8-a9a7-90aff4ccafae,"https://api.nga.gov/iiif/d60bdf25-8877-48a8-a9a7-90aff4ccafae/full/!200,200/0/default.jpg",1
